,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1048,Hyderabad,2013,17729,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.65
1049,Chennai,2012,97000,Diesel,Manual,First,20.0,1497.0,115.0,5.0,7.25
1050,Kochi,2014,89614,Diesel,Manual,First,22.0,1582.0,126.2,5.0,6.01
1051,Kolkata,2015,14000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.8
1052,Chennai,2012,50000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,4.0
1053,Delhi,2014,62505,Petrol,Manual,First,17.4,1497.0,117.3,5.0,5.95
1054,Chennai,2011,248000,Diesel,Manual,Second,12.8,2494.0,102.0,7.0,9.2
1055,Pune,2012,94900,Diesel,Manual,First,16.8,1493.0,110.0,5.0,5.35
1056,Delhi,2017,55000,Diesel,Manual,First,17.6,2179.0,153.86,7.0,12.0
1057,Coimbatore,2015,53735,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,38.94
1058,Coimbatore,2008,53934,Petrol,Manual,Second,18.9,998.0,67.1,5.0,2.69
1059,Bangalore,2013,58500,Diesel,Automatic,Second,17.09,1995.0,218.0,5.0,27.5
1060,Kolkata,2014,48000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,2.75
1061,Mumbai,2016,24000,Petrol,Manual,First,24.7,796.0,47.3,5.0,2.8
1062,Mumbai,2016,52001,Petrol,Manual,First,17.01,1591.0,121.3,5.0,6.45
1063,Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199.0,84.0,5.0,5.88
1064,Pune,2013,32953,Petrol,Manual,First,18.6,1197.0,85.8,5.0,4.65
1065,Jaipur,2014,18000,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.5
1066,Hyderabad,2016,33016,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.85
1067,Chennai,2012,48000,Diesel,Manual,First,23.59,1364.0,67.05,5.0,5.25
1068,Coimbatore,2014,72022,Diesel,Manual,First,21.43,1364.0,87.2,5.0,9.23
1069,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,22.0
1070,Hyderabad,2014,69000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,5.19
1071,Pune,2009,108000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,4.35
1072,Hyderabad,2013,34700,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,24.5
1073,Pune,2015,79000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,5.75
1074,Kochi,2016,58197,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.19
1075,Pune,2008,66000,Petrol,Automatic,Second,8.45,2979.0,321.0,5.0,10.75
1076,Bangalore,2009,60000,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,2.99
1077,Kolkata,2014,57000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,3.89
1078,Coimbatore,2018,45555,Diesel,Manual,First,26.0,1498.0,98.6,5.0,11.73
1079,Coimbatore,2016,55137,Petrol,Manual,First,14.0,796.0,35.0,5.0,3.11
1080,Jaipur,2014,93325,Diesel,Manual,Second,17.2,1968.0,138.1,5.0,14.45
1081,Ahmedabad,2018,38000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.7
1082,Kochi,2016,57738,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5.04
1083,Jaipur,2017,38282,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.5
1084,Delhi,2014,64000,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,15.65
1085,Mumbai,2015,32000,Diesel,Manual,First,20.5,1248.0,91.72,5.0,5.65
1086,Bangalore,2010,83000,Petrol,Automatic,First,10.93,2497.0,204.0,5.0,16.5
1088,Pune,2012,67200,Petrol,Manual,First,15.04,1598.0,103.6,5.0,3.9
1089,Jaipur,2013,62655,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,14.5
1090,Bangalore,2015,16900,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,44.0
1091,Delhi,2017,8471,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.0
1092,Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.75
1093,Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.44
1094,Chennai,2011,120000,Diesel,Manual,First,18.0,1248.0,75.0,5.0,1.75
1095,Bangalore,2013,23000,Diesel,Manual,First,17.8,1248.0,74.0,5.0,5.6
1096,Kochi,2016,35939,Petrol,Manual,First,12.3,1796.0,185.0,5.0,30.42
1097,Coimbatore,2013,116694,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.57
1098,Mumbai,2016,40448,Diesel,Manual,First,15.96,2523.0,62.1,7.0,3.5
1099,Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10.46
1100,Pune,2014,52782,Diesel,Manual,First,20.5,1248.0,91.72,5.0,4.85
1101,Kochi,2016,51672,Petrol,Manual,First,19.5,1199.0,88.76,5.0,5.68
1102,Mumbai,2015,56073,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,13.25
1103,Bangalore,2011,65000,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,16.0
1104,Chennai,2013,79000,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.0
1105,Mumbai,2010,70200,Petrol,Automatic,First,14.53,1798.0,138.1,5.0,5.0
1106,Delhi,2016,42000,Petrol,Manual,First,16.1,1197.0,85.0,5.0,4.75
1107,Bangalore,2014,62000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.35
1108,Hyderabad,2017,20000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,5.98
1109,Chennai,2011,80000,Diesel,Manual,Third & Above,21.5,1248.0,88.8,5.0,3.5
1110,Kochi,2018,50234,Petrol,Manual,First,18.9,1197.0,81.86,5.0,4.77
1111,Delhi,2016,50003,Petrol,Manual,First,21.4,1197.0,83.1,5.0,5.45
1112,Ahmedabad,2018,1000,Petrol,Automatic,First,20.3,1199.0,84.0,5.0,6.85
1113,Jaipur,2016,54897,Diesel,Automatic,First,26.59,1248.0,74.0,5.0,7.3
1114,Pune,2007,108995,Petrol,Manual,First,15.3,1193.0,65.3,5.0,1.25
1115,Chennai,2015,73000,Diesel,Manual,First,22.7,1598.0,118.0,5.0,8.25
1116,Ahmedabad,2008,65000,Petrol,Manual,First,16.1,1298.0,88.2,5.0,2.71
1117,Kolkata,2016,32000,Petrol,Manual,First,19.1,1197.0,82.0,5.0,3.6
1118,Ahmedabad,2010,65000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3.0
1119,Hyderabad,2016,21600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.65
1120,Mumbai,2010,39000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,9.5
1121,Mumbai,2011,58075,Petrol,Manual,First,17.5,1298.0,85.8,5.0,2.95
1122,Mumbai,2011,58000,Petrol,Manual,First,15.04,1598.0,103.6,5.0,3.0
1123,Hyderabad,2015,58000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.95
1124,Delhi,2008,89000,Petrol,Automatic,First,14.53,1798.0,138.1,5.0,4.0
1125,Delhi,2008,72000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,2.5
1126,Kolkata,2017,1800,Petrol,Automatic,First,16.05,1499.0,110.4,5.0,11.37
1127,Pune,2010,172050,Diesel,Manual,Second,19.0,1248.0,93.0,5.0,2.25
1128,Jaipur,2013,46230,Petrol,Manual,First,19.81,1086.0,68.05,5.0,3.1
1129,Kochi,2014,86925,Diesel,Automatic,First,11.2,2400.0,215.0,5.0,17.18
1130,Jaipur,2018,5000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.5
1131,Ahmedabad,2014,66000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,5.7
1132,Ahmedabad,2013,119000,Diesel,Manual,First,12.99,2494.0,100.0,8.0,8.0
1133,Chennai,2016,45000,Petrol,Manual,First,25.17,799.0,53.3,5.0,2.6
1134,Hyderabad,2009,66149,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.45
1135,Kochi,2014,42070,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.57
1136,Kolkata,2012,35503,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.3
1137,Jaipur,2016,41460,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.9
1138,Mumbai,2015,40600,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,7.2
1139,Ahmedabad,2013,87000,Diesel,Automatic,First,22.0,1582.0,126.2,5.0,5.9
1140,Chennai,2014,30000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,6.0
1141,Kolkata,2010,27089,Petrol,Manual,First,16.0,1086.0,66.7,5.0,1.95
1142,Coimbatore,2016,53702,Diesel,Manual,First,23.59,1364.0,67.04,5.0,6.55
1143,Hyderabad,2015,51000,Diesel,Automatic,First,27.03,1969.0,190.0,5.0,25.0
1144,Kolkata,2012,36542,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.65
1145,Chennai,2012,65000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,14.0
1146,Pune,2014,32000,Petrol,Manual,Second,22.74,796.0,47.3,5.0,2.1
1147,Hyderabad,2017,24393,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20.4
1148,Hyderabad,2019,1000,Petrol,Manual,First,18.78,999.0,75.0,5.0,5.68
1149,Mumbai,2014,28238,Petrol,Manual,First,13.24,1598.0,102.5,5.0,5.55
1150,Mumbai,2013,59000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,12.75
1151,Mumbai,2012,92000,Petrol,Manual,Second,14.8,1799.0,130.2,5.0,3.35
1152,Kolkata,2013,56840,Petrol,Manual,First,22.74,796.0,47.3,5.0,1.55
1153,Coimbatore,2013,62746,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,5.9
1154,Hyderabad,2012,96000,Diesel,Automatic,First,12.35,2179.0,187.74,5.0,18.98
1155,Mumbai,2014,24000,Petrol,Manual,First,13.7,1997.0,153.86,5.0,11.51
1156,Mumbai,2016,54000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,7.75
1157,Chennai,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,13.9
1158,Kolkata,2010,40000,Petrol,Manual,First,15.0,1368.0,90.0,5.0,1.35
1159,Mumbai,2015,65938,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,38.0
1160,Mumbai,2017,16100,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,11.6
1161,Hyderabad,2017,3600,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,12.25
1162,Jaipur,2011,52000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.8
1163,Mumbai,2014,54000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3.25
1164,Mumbai,2016,15399,Petrol,Manual,First,18.7,1199.0,88.7,5.0,6.4
1165,Bangalore,2012,75000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,3.95
1166,Delhi,2010,76752,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.57
1167,Mumbai,2005,56000,Petrol,Manual,Second,17.7,1497.0,78.0,5.0,1.25
1169,Kolkata,2013,46125,Petrol,Automatic,Second,12.0,2354.0,187.4,5.0,12.5
1170,Ahmedabad,2014,35000,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,23.0
1171,Chennai,2003,80000,Diesel,Manual,Third & Above,12.8,1489.0,35.5,5.0,1.35
1172,Coimbatore,2012,62729,Diesel,Manual,First,12.05,2179.0,120.0,8.0,6.32
1173,Kolkata,2012,34000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.4
1174,Jaipur,1999,70000,Petrol,Manual,Second,17.3,993.0,60.0,5.0,0.77
1175,Jaipur,2009,32000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.9
1176,Delhi,2017,21000,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,18.0
1177,Pune,2013,49000,Petrol,Automatic,First,14.59,1997.0,245.0,5.0,19.0
1178,Chennai,2007,40000,Petrol,Manual,Third & Above,13.8,1299.0,70.0,5.0,1.1
1179,Pune,2012,78000,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,2.0
1180,Ahmedabad,2012,52000,Diesel,Manual,First,21.43,1364.0,86.79,5.0,6.5
1181,Bangalore,2014,65213,Diesel,Manual,First,16.0,2179.0,140.0,7.0,9.45
1182,Mumbai,2016,170000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,4.0
1183,Kochi,2017,36884,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,32.25
1184,Pune,2009,62500,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.1
1185,Mumbai,2015,68000,Petrol,Automatic,Second,14.28,1798.0,138.03,5.0,9.75
1186,Kolkata,2014,40748,Petrol,Manual,First,14.53,1798.0,138.0,5.0,6.3
1187,Hyderabad,2013,60000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,21.0
1188,Mumbai,2014,12400,Diesel,Manual,First,21.9,1396.0,88.8,5.0,4.65
1189,Mumbai,2013,87000,Diesel,Automatic,Second,19.27,2143.0,167.62,5.0,17.0
1190,Pune,2013,20248,Diesel,Manual,First,21.1,1248.0,73.9,5.0,4.35
1191,Coimbatore,2017,52383,Diesel,Manual,First,19.67,1582.0,126.2,5.0,14.82
1192,Delhi,2018,1000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,40.0
1193,Chennai,2016,85000,Diesel,Manual,First,14.95,2489.0,93.7,7.0,6.15
1194,Ahmedabad,2014,47000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.25
1195,Pune,2018,17585,Petrol,Automatic,First,19.16,2494.0,157.7,5.0,32.0
1196,Coimbatore,2018,32496,Diesel,Automatic,First,13.22,2967.0,241.4,5.0,45.62
1197,Kochi,2017,34613,Diesel,Manual,First,28.4,1248.0,74.0,5.0,6.24
1198,Chennai,2015,153000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,4.8
1199,Chennai,2014,54000,Petrol,Manual,Second,16.1,1197.0,85.0,5.0,4.5
1200,Kochi,2015,16900,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.87
1201,Delhi,2013,62334,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75
1202,Kochi,2018,23714,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6.57
1203,Jaipur,2010,52325,Petrol,Manual,First,16.36,1495.0,93.7,5.0,2.0
1204,Ahmedabad,2012,50000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.65
1205,Hyderabad,2016,55746,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.95
1206,Bangalore,2014,54000,Petrol,Manual,First,20.14,1197.0,81.86,5.0,5.5
1207,Kolkata,2013,43000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,7.0
1208,Delhi,2014,40000,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,24.0
1209,Bangalore,2010,125000,Diesel,Automatic,Second,12.35,2179.0,115.0,5.0,11.0
1210,Bangalore,2016,51944,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,32.5
1211,Kochi,2015,46950,Diesel,Manual,First,21.27,1396.0,88.76,5.0,6.45
1212,Mumbai,2015,23000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,15.75
1213,Mumbai,2014,54546,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.5
1214,Kochi,2015,51535,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,19.03
1215,Kolkata,2013,45000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,15.25
1216,Hyderabad,2012,46004,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.4
1217,Chennai,2011,124000,Diesel,Manual,First,23.03,1396.0,69.0,5.0,2.3
1218,Kochi,2014,77395,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,14.35
1220,Kochi,2018,22974,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,11.97
1221,Ahmedabad,2015,65012,Diesel,Manual,First,14.24,2755.0,174.5,7.0,18.9
1222,Ahmedabad,2017,17125,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.4
1223,Hyderabad,2015,90413,Petrol,Manual,First,15.1,1196.0,73.0,7.0,2.95
1224,Bangalore,2013,37000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,5.1
1225,Jaipur,2006,65000,Petrol,Manual,First,18.9,1061.0,67.0,5.0,1.5
1226,Bangalore,2011,66000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.9
1227,Mumbai,2010,86000,Petrol,Manual,First,14.8,1799.0,130.2,5.0,2.9
1228,Pune,2005,98437,Petrol,Manual,First,13.0,1493.0,100.0,5.0,1.15
1229,Kolkata,2010,18000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2.3
1230,Kochi,2018,35070,Diesel,Manual,First,24.0,1120.0,70.0,5.0,5.99
1231,Pune,2011,42000,Petrol,Automatic,Third & Above,14.4,1598.0,103.6,5.0,3.4
1232,Kolkata,2009,40000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1.7
1233,Kolkata,2009,43000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,1.99
1234,Pune,2012,65000,Petrol,Manual,First,18.6,1199.0,79.4,5.0,2.5
1235,Hyderabad,2013,74000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.85
1236,Hyderabad,2010,51192,Petrol,Manual,First,15.6,1196.0,70.0,5.0,2.65
1238,Jaipur,2015,66339,Diesel,Manual,Second,25.1,1498.0,98.6,5.0,6.9
1239,Hyderabad,2013,90200,Diesel,Manual,First,20.0,1399.0,68.05,5.0,3.5
1240,Delhi,2015,57854,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.5
1241,Delhi,2017,32000,Petrol,Automatic,First,19.12,1373.0,91.1,5.0,9.2
1242,Mumbai,2015,29631,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,4.9
1243,Kochi,2014,54173,Petrol,Manual,First,18.88,999.0,123.24,5.0,5.55
1244,Ahmedabad,2014,50000,Petrol,Automatic,First,14.7,1798.0,177.6,5.0,13.5
1245,Kolkata,2010,145000,Diesel,Manual,First,20.4,1248.0,91.7,5.0,2.6
1246,Jaipur,2015,78000,Petrol,Manual,First,16.1,1298.0,88.2,5.0,4.5
1247,Delhi,2013,65000,Diesel,Automatic,Second,11.8,2993.0,180.0,7.0,34.0
1248,Hyderabad,2012,120000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.0
1249,Mumbai,2015,14000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.25
1250,Kochi,2014,57456,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,21.56
1251,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,24.68
1252,Delhi,2013,63777,Petrol,Manual,First,18.5,1197.0,82.9,5.0,3.67
1253,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,29.5
1254,Delhi,2012,60000,Petrol,Manual,First,17.6,1496.0,88.73,5.0,3.1
1255,Ahmedabad,2015,78008,Diesel,Manual,First,17.0,1405.0,70.0,5.0,2.9
1256,Bangalore,2014,33000,Diesel,Automatic,Second,10.0,2987.0,165.0,5.0,43.0
1257,Mumbai,2009,27078,Petrol,Automatic,First,10.98,1984.0,114.4,4.0,15.95
1258,Hyderabad,2011,57275,Diesel,Manual,First,19.7,1598.0,103.6,5.0,4.5
1259,Delhi,2014,45000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,3.49
1260,Delhi,2014,57319,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.25
1261,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396.0,88.76,5.0,1.9
1262,Mumbai,2011,89000,Diesel,Automatic,First,16.73,1995.0,218.0,5.0,16.57
1263,Bangalore,2012,72000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.75
1264,Delhi,2013,36000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,14.0
1265,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248.0,75.0,5.0,2.5
1266,Ahmedabad,2002,85000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,1.2
1267,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,13.95
1268,Chennai,2007,100000,Petrol,Manual,First,16.6,1388.0,68.0,5.0,1.6
1269,Coimbatore,2016,5240,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.6
1271,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197.0,81.8,5.0,6.06
1272,Coimbatore,2013,59254,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,5.29
1273,Jaipur,2014,60000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.75
1274,Coimbatore,2014,47674,Petrol,Manual,First,19.1,1197.0,85.8,5.0,5.72
1275,Kochi,2014,61517,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,4.39
1276,Coimbatore,2016,62946,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.05
1277,Delhi,2015,66823,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,4.83
1279,Chennai,2012,107000,Diesel,Manual,Second,21.27,1396.0,88.76,5.0,4.5
1280,Mumbai,2011,55000,Diesel,Automatic,Second,16.46,2993.0,258.0,5.0,19.5
1281,Mumbai,2017,24000,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.75
1282,Kochi,2016,54317,Petrol,Manual,First,17.4,1497.0,117.3,5.0,8.4
1283,Mumbai,2016,10200,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.99
1284,Coimbatore,2016,24337,Diesel,Manual,First,26.0,1498.0,98.6,5.0,8.18
1285,Pune,2012,79000,Petrol,Manual,First,18.4,1198.0,86.8,5.0,2.9
1286,Jaipur,2015,40500,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.1
1287,Pune,2016,23000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,7.05
1288,Pune,2015,63050,Petrol,Automatic,First,11.1,2354.0,158.8,5.0,17.5
1289,Mumbai,2008,78000,Petrol,Automatic,Second,14.53,1794.0,138.1,5.0,3.41
1290,Coimbatore,2012,66245,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.68
1292,Delhi,2011,87670,Petrol,Manual,First,13.4,1798.0,157.8,5.0,4.0
1293,Hyderabad,2015,10000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,30.0
1294,Chennai,2007,62493,Petrol,Manual,First,15.0,1586.0,104.68,5.0,1.8
1295,Kochi,2015,44620,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.93
1296,Ahmedabad,2013,60000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,7.9
1297,Kochi,2011,20842,Petrol,Manual,First,17.92,1086.0,62.0,5.0,2.78
1298,Chennai,2014,110000,Diesel,Automatic,First,13.01,2199.0,194.3,7.0,14.4
1299,Mumbai,2011,45000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,13.5
1301,Coimbatore,2012,49008,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.88
1302,Kolkata,2016,31000,Petrol,Manual,First,24.7,796.0,47.3,5.0,2.15
1303,Pune,2013,8000,Petrol,Manual,First,16.95,1498.0,97.7,5.0,3.75
1304,Mumbai,2019,171,Petrol,Manual,First,24.7,796.0,47.3,5.0,3.6
1305,Kolkata,2018,2100,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.6
1306,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,7.55
1307,Kolkata,2015,50000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,4.7
1308,Jaipur,2010,100030,Diesel,Manual,Second,18.8,1248.0,90.0,5.0,1.6
1309,Pune,2011,75372,Diesel,Manual,First,16.52,1991.0,123.7,5.0,3.34
1310,Kochi,2016,60475,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.1
1311,Kochi,2019,18453,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.17
1312,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.5
1313,Kolkata,2016,31001,Petrol,Manual,First,18.44,1198.0,75.0,5.0,3.0
1314,Jaipur,2012,65900,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.75
1315,Bangalore,2017,26246,Petrol,Manual,First,15.29,1591.0,121.3,5.0,10.75
1316,Jaipur,2013,62700,Petrol,Manual,Second,20.51,998.0,67.04,5.0,2.85
1317,Chennai,2008,90000,Petrol,Automatic,First,10.2,2354.0,180.0,5.0,6.5
1318,Bangalore,2016,36000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,9.45
1319,Delhi,2016,46000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.75
1320,Coimbatore,2017,73003,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.75
1321,Kochi,2014,46566,Diesel,Manual,First,22.54,1396.0,88.76,5.0,4.4
1322,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,42.0
1323,Kochi,2014,103788,Diesel,Manual,First,19.01,1461.0,108.5,5.0,5.67
1324,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.5
1325,Pune,2009,120000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.69
1326,Jaipur,2009,97359,Diesel,Manual,Second,17.1,1493.0,110.0,5.0,1.8
1327,Mumbai,2016,62000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.2
1328,Kochi,2019,18373,Diesel,Automatic,First,22.48,1995.0,187.74,5.0,45.86
1329,Hyderabad,2016,60453,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.1
1330,Pune,2013,37000,Diesel,Manual,First,17.8,1248.0,74.0,5.0,4.85
1331,Mumbai,2010,69009,Petrol,Manual,Second,15.6,1196.0,70.0,5.0,2.4
1332,Hyderabad,2013,30000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,22.0
1333,Delhi,2012,70707,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.28
1334,Coimbatore,2015,64677,Diesel,Manual,First,20.45,1461.0,83.8,5.0,5.67
1335,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.2
1336,Bangalore,2013,49000,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,14.49
1337,Pune,2010,71000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.0
1338,Jaipur,2010,52000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.25
1339,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,43.78
1340,Kochi,2019,5377,Petrol,Manual,First,16.8,1497.0,116.3,5.0,11.45
1341,Delhi,2014,65000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.5
1342,Coimbatore,2015,92708,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.48
1343,Coimbatore,2010,48105,Petrol,Manual,First,19.7,796.0,46.3,5.0,3.1
1344,Mumbai,2011,46759,Petrol,Manual,First,16.47,1198.0,74.0,5.0,2.55
1345,Jaipur,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5
1346,Kolkata,2012,35175,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.59
1347,Kolkata,2013,70000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.45
1348,Kolkata,2017,30000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.0
1349,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,15.49
1350,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497.0,150.0,5.0,12.5
